i,t_v,tensión(V)
0,1668005245.0584278,-1.15120000E-05

0,1668005245.5884278,-8.46200000E-06

0,1668005246.1084278,-1.15330000E-05

0,1668005246.638428,-8.75400000E-06

0,1668005247.158428,-1.58420000E-05

0,1668005247.6884277,-1.22820000E-05

0,1668005248.218428,-1.71530000E-05

0,1668005248.7384279,-1.60710000E-05

0,1668005249.2684278,-1.35940000E-05

0,1668005249.7884278,-1.43850000E-05

0,1668005250.3184278,-1.70490000E-05

0,1668005250.838428,-1.74340000E-05

0,1668005251.3684278,-1.48010000E-05

0,1668005251.8884277,-1.09710000E-05

0,1668005252.418428,-7.76500000E-06

0,1668005252.938428,-4.84000000E-06

0,1668005253.4624279,-6.45300000E-06

0,1668005253.9924278,-8.67000000E-06

0,1668005254.5124278,-9.23200000E-06

0,1668005255.042428,-8.51400000E-06

0,1668005255.5724277,-5.98500000E-06

0,1668005256.0924277,-5.73500000E-06

0,1668005256.6174278,-6.44300000E-06

0,1668005257.1474278,-5.79800000E-06

0,1668005257.6674278,-4.69400000E-06

0,1668005258.1974277,+1.68600000E-06

0,1668005258.7274277,-3.23700000E-06

0,1668005259.247428,-4.93400000E-06

0,1668005259.7754278,-4.87100000E-06

0,1668005260.2954278,-2.85200000E-06

0,1668005260.8254278,-4.19500000E-06

0,1668005261.3554277,-4.37200000E-06

0,1668005261.8754277,-3.87200000E-06

0,1668005262.4054277,-4.27800000E-06

0,1668005262.9254277,-5.09000000E-06

0,1668005263.455428,-6.00600000E-06

0,1668005263.9854276,-4.80900000E-06

0,1668005264.5124278,-3.45600000E-06

0,1668005265.0294278,-4.02800000E-06

0,1668005265.5594277,-3.85100000E-06

0,1668005266.0894277,+6.97000000E-07

0,1668005266.6094277,+7.91000000E-07

0,1668005267.139428,-3.96000000E-07

0,1668005267.659428,+6.42200000E-06

0,1668005268.1894276,+8.26400000E-06

0,1668005268.7094276,+4.42400000E-06

0,1668005269.2394278,+2.73700000E-06

0,1668005269.7694278,+6.19300000E-06

0,1668005270.2894278,+4.81900000E-06

0,1668005270.8194277,+8.04600000E-06

0,1668005271.342428,+3.66400000E-06

0,1668005271.8724277,+1.29690000E-05

0,1668005272.3924277,+1.23760000E-05

0,1668005272.922428,+1.54360000E-05

0,1668005273.4424279,+1.10950000E-05

0,1668005273.9724278,+1.07210000E-05

0,1668005274.4924278,+1.04810000E-05

0,1668005275.0224278,+1.52590000E-05

0,1668005275.542428,+1.89330000E-05

0,1668005276.0724277,+2.05360000E-05

0,1668005276.5934277,+1.81320000E-05

0,1668005277.1234279,+1.64870000E-05

0,1668005277.6434278,+1.37700000E-05

0,1668005278.1734278,+1.58210000E-05

0,1668005278.6934278,+1.54770000E-05

0,1668005279.2234278,+1.55500000E-05

0,1668005279.7434278,+1.99110000E-05

0,1668005280.2734277,+2.23680000E-05

0,1668005280.7934277,+2.05050000E-05

0,1668005281.323428,+1.97970000E-05

0,1668005281.8534276,+2.42730000E-05

0,1668005282.3734276,+3.01530000E-05

0,1668005282.9034278,+3.17150000E-05

0,1668005283.4234278,+2.59800000E-05

0,1668005283.9534278,+2.60420000E-05

0,1668005284.4734278,+2.89670000E-05

0,1668005285.0044277,+2.97060000E-05

0,1668005285.524428,+3.12460000E-05

0,1668005286.0544279,+3.11320000E-05

0,1668005286.5744278,+2.86750000E-05

0,1668005287.1044278,+2.75720000E-05

0,1668005287.6244278,+3.24330000E-05

0,1668005288.154428,+4.10820000E-05

0,1668005288.674428,+4.29140000E-05

0,1668005289.2044277,+3.75230000E-05

0,1668005289.7244277,+3.33590000E-05

0,1668005290.254428,+3.47640000E-05

0,1668005290.774428,+3.17460000E-05

0,1668005291.3044279,+2.70100000E-05

0,1668005291.8244278,+2.73120000E-05

0,1668005292.3544278,+3.63670000E-05

0,1668005292.8744278,+3.62530000E-05

0,1668005293.4044278,+3.29950000E-05

0,1668005293.9244277,+3.37760000E-05

0,1668005294.454428,+3.51700000E-05

0,1668005294.9844277,+3.60860000E-05

0,1668005295.5044277,+3.43060000E-05

0,1668005296.034428,+3.74390000E-05

0,1668005296.5544279,+3.66690000E-05

0,1668005297.0854278,+3.80430000E-05

0,1668005297.6054277,+3.85840000E-05

0,1668005298.135428,+4.15400000E-05

0,1668005298.6654277,+4.62140000E-05

0,1668005299.1854277,+4.86490000E-05

0,1668005299.7154279,+4.46420000E-05

0,1668005300.2354279,+4.27170000E-05

0,1668005300.7654278,+5.29380000E-05

0,1668005301.2854278,+5.26880000E-05

0,1668005301.8154278,+4.62140000E-05

0,1668005302.3454278,+4.71400000E-05

0,1668005302.8694277,+5.51340000E-05

0,1668005303.3894277,+5.11790000E-05

0,1668005303.9194279,+5.09080000E-05

0,1668005304.4494276,+5.27500000E-05

0,1668005304.9694278,+4.98260000E-05

0,1668005305.4994278,+5.98910000E-05

0,1668005306.0204277,+6.37420000E-05

0,1668005306.547428,+5.66740000E-05

0,1668005307.0774276,+5.38850000E-05

0,1668005307.5974276,+5.42180000E-05

0,1668005308.1274278,+5.12720000E-05

0,1668005308.6474278,+5.15740000E-05

0,1668005309.1774278,+5.51550000E-05

0,1668005309.7074277,+5.15950000E-05

0,1668005310.2274277,+5.20530000E-05

0,1668005310.7574277,+5.73510000E-05

0,1668005311.2774277,+6.31380000E-05

0,1668005311.807428,+6.58960000E-05

0,1668005312.3274279,+6.53450000E-05

0,1668005312.8574276,+6.11810000E-05

0,1668005313.3774278,+6.25450000E-05

0,1668005313.9074278,+6.38670000E-05

0,1668005314.4274278,+6.03280000E-05

0,1668005314.9574277,+6.11920000E-05

0,1668005315.4814277,+5.88810000E-05

0,1668005316.0114279,+5.90470000E-05

0,1668005316.5314279,+6.46370000E-05

0,1668005317.0614276,+6.67190000E-05

0,1668005317.5814278,+6.32000000E-05

0,1668005318.106428,+6.20140000E-05

0,1668005318.6364279,+6.24300000E-05

0,1668005319.1564279,+7.07260000E-05

0,1668005319.6864278,+8.29140000E-05

0,1668005320.2064278,+8.62970000E-05

0,1668005320.7364278,+8.29560000E-05

0,1668005321.2604277,+8.74730000E-05

0,1668005321.783428,+8.00940000E-05

0,1668005322.3134277,+7.37860000E-05

0,1668005322.8334277,+8.20710000E-05

0,1668005323.3634279,+8.45380000E-05

0,1668005323.8834279,+8.70570000E-05

0,1668005324.4134278,+9.29380000E-05

0,1668005324.9334278,+8.31330000E-05

0,1668005325.4634278,+7.36820000E-05

0,1668005325.9834278,+7.33590000E-05

0,1668005326.5014277,+7.85740000E-05

0,1668005327.0384278,+8.53500000E-05

0,1668005327.5584278,+7.55870000E-05

0,1668005328.0884278,+7.60030000E-05

0,1668005328.6084278,+8.06660000E-05

0,1668005329.138428,+7.90420000E-05

0,1668005329.658428,+7.84180000E-05

0,1668005330.1884277,+8.30080000E-05

0,1668005330.7084277,+8.75250000E-05

0,1668005331.2334278,+8.87430000E-05

0,1668005331.7644277,+8.52250000E-05

0,1668005332.284428,+8.28310000E-05

0,1668005332.8144279,+8.15820000E-05

0,1668005333.3444278,+7.89070000E-05

0,1668005333.8644278,+8.00520000E-05

0,1668005334.394428,+8.12490000E-05

0,1668005334.914428,+8.53290000E-05

0,1668005335.4444277,+8.49330000E-05

0,1668005335.974428,+8.48090000E-05

0,1668005336.4964278,+8.16130000E-05

0,1668005337.0164278,+8.22170000E-05

0,1668005337.546428,+8.37780000E-05

0,1668005338.0764277,+8.92220000E-05

0,1668005338.5974276,+8.92530000E-05

0,1668005339.1274278,+9.05120000E-05

0,1668005339.6474278,+9.38120000E-05

0,1668005340.1774278,+9.33960000E-05

0,1668005340.6994278,+9.09390000E-05

0,1668005341.2294278,+9.03770000E-05

0,1668005341.7494278,+9.04920000E-05

0,1668005342.2794278,+9.22710000E-05

0,1668005342.8094277,+9.67160000E-05

0,1668005343.3334277,+9.62790000E-05

0,1668005343.8534276,+9.59560000E-05

0,1668005344.3834279,+9.64450000E-05

0,1668005344.9034278,+1.00244000E-04

0,1668005345.4334278,+1.00619000E-04

0,1668005345.9634278,+9.77150000E-05

0,1668005346.4834278,+9.56650000E-05

0,1668005347.0134277,+9.56230000E-05

0,1668005347.534428,+9.70700000E-05

0,1668005348.0644279,+9.82670000E-05

0,1668005348.5884278,+9.63830000E-05

0,1668005349.118428,+9.78610000E-05

0,1668005349.638428,+1.00119000E-04

0,1668005350.1684277,+1.01244000E-04

0,1668005350.6884277,+1.05969000E-04

0,1668005351.218428,+1.10913000E-04

0,1668005351.7384279,+1.09435000E-04

0,1668005352.2684278,+1.06510000E-04

0,1668005352.7924278,+1.03003000E-04

0,1668005353.3124278,+1.01400000E-04

0,1668005353.842428,+1.02659000E-04

0,1668005354.3724277,+1.04730000E-04

0,1668005354.8924277,+1.06292000E-04

0,1668005355.422428,+1.08405000E-04

0,1668005355.9424279,+1.07947000E-04

0,1668005356.4724278,+1.07947000E-04

0,1668005356.9924278,+1.08092000E-04

0,1668005357.5224278,+1.09716000E-04

0,1668005358.042428,+1.11600000E-04

0,1668005358.5734277,+1.17242000E-04

0,1668005359.0934277,+1.18147000E-04

0,1668005359.6234279,+1.11808000E-04

0,1668005360.1434278,+1.12235000E-04

0,1668005360.6734278,+1.13994000E-04

0,1668005361.1934278,+1.18615000E-04

0,1668005361.7234278,+1.16565000E-04

0,1668005362.2434278,+1.11777000E-04

0,1668005362.7734277,+1.12193000E-04

0,1668005363.2934277,+1.13422000E-04

0,1668005363.823428,+1.12599000E-04

0,1668005364.343428,+1.19563000E-04

0,1668005364.8734276,+1.19927000E-04

0,1668005365.3934276,+1.21072000E-04

0,1668005365.9234278,+1.17970000E-04

0,1668005366.4434278,+1.15691000E-04

0,1668005366.9734278,+1.15170000E-04

0,1668005367.4934278,+1.19042000E-04

0,1668005368.0234277,+1.21332000E-04

0,1668005368.5444279,+1.22612000E-04

0,1668005369.0744278,+1.21957000E-04

0,1668005369.5944278,+1.20583000E-04

0,1668005370.1244278,+1.22321000E-04

0,1668005370.6444278,+1.24174000E-04

0,1668005371.174428,+1.25131000E-04

0,1668005371.694428,+1.26005000E-04

0,1668005372.2244277,+1.25485000E-04

0,1668005372.754428,+1.25829000E-04

0,1668005373.274428,+1.27931000E-04

0,1668005373.8044279,+1.26370000E-04

0,1668005374.3284278,+1.26411000E-04

0,1668005374.8484278,+1.27993000E-04

0,1668005375.378428,+1.28108000E-04

