i,t_v,Resistencia(Ohms)
0,1669216040.6699219,+1.24865770E+02
0,1669216041.1123047,+1.24862750E+02
0,1669216041.5488281,+1.24858280E+02
0,1669216041.9892578,+1.24846110E+02
0,1669216042.4257812,+1.24834250E+02
0,1669216042.8662107,+1.24822700E+02
0,1669216043.3066406,+1.24814790E+02
0,1669216043.7451172,+1.24807300E+02
0,1669216044.1845703,+1.24799920E+02
0,1669216044.6220703,+1.24793880E+02
0,1669216045.0625,+1.24788790E+02
0,1669216045.5019531,+1.24784630E+02
0,1669216045.9433591,+1.24785350E+02
0,1669216046.3847656,+1.24791800E+02
0,1669216046.823242,+1.24797940E+02
0,1669216047.2646484,+1.24794510E+02
0,1669216047.7041013,+1.24781300E+02
0,1669216048.1435544,+1.24767570E+02
0,1669216048.5839844,+1.24757890E+02
0,1669216049.022461,+1.24748010E+02
0,1669216049.461914,+1.24737920E+02
0,1669216049.9052734,+1.24728660E+02
0,1669216050.3466794,+1.24722520E+02
0,1669216050.7841797,+1.24716590E+02
0,1669216051.2236328,+1.24713370E+02
0,1669216051.6621091,+1.24710460E+02
0,1669216052.0976562,+1.24707230E+02
0,1669216052.5400388,+1.24705260E+02
0,1669216052.9794922,+1.24702240E+02
0,1669216053.4208982,+1.24700570E+02
0,1669216053.8583984,+1.24699850E+02
0,1669216054.2998047,+1.24698490E+02
0,1669216054.7382812,+1.24695890E+02
0,1669216055.1777344,+1.24696100E+02
0,1669216055.618164,+1.24694020E+02
0,1669216056.0576172,+1.24690590E+02
0,1669216056.4980466,+1.24690280E+02
0,1669216056.9345703,+1.24690590E+02
0,1669216057.375,+1.24690690E+02
0,1669216057.8164062,+1.24688610E+02
0,1669216058.2548828,+1.24683720E+02
0,1669216058.694336,+1.24678730E+02
0,1669216059.1337888,+1.24678210E+02
0,1669216059.5771484,+1.24680290E+02
0,1669216060.0136716,+1.24683510E+02
0,1669216060.4531252,+1.24687260E+02
0,1669216060.8935547,+1.24689550E+02
0,1669216061.334961,+1.24689440E+02
0,1669216061.7773438,+1.24689030E+02
0,1669216062.220703,+1.24691840E+02
0,1669216062.6601562,+1.24692670E+02
0,1669216063.0976562,+1.24693920E+02
0,1669216063.538086,+1.24693920E+02
0,1669216063.9765625,+1.24693190E+02
0,1669216064.4160156,+1.24690590E+02
0,1669216064.8554688,+1.24685080E+02
0,1669216065.2949216,+1.24682270E+02
0,1669216065.7373047,+1.24679350E+02
0,1669216066.1777344,+1.24679150E+02
0,1669216066.6171875,+1.24679980E+02
0,1669216067.0566406,+1.24682790E+02
0,1669216067.4941406,+1.24685180E+02
0,1669216067.9345703,+1.24686640E+02
0,1669216068.3701172,+1.24689240E+02
0,1669216068.807617,+1.24689650E+02
0,1669216069.2470703,+1.24690590E+02
0,1669216069.6865234,+1.24687680E+02
0,1669216070.125,+1.24685700E+02
0,1669216070.5634766,+1.24682680E+02
0,1669216071.0039062,+1.24678310E+02
0,1669216071.4453125,+1.24676130E+02
