i,t_v,tensión(V)
0,1668010804.7598093,+1.12904300E-03

0,1668010805.2798092,+1.12888700E-03

0,1668010805.8098094,+1.12909500E-03

0,1668010806.3298094,+1.12929300E-03

0,1668010806.8598094,+1.12892800E-03

0,1668010807.3808095,+1.12906400E-03

0,1668010807.9108093,+1.12905300E-03

0,1668010808.4308093,+1.12887600E-03

0,1668010808.9608095,+1.12876200E-03

0,1668010809.4908094,+1.12897000E-03

0,1668010810.0108094,+1.12882400E-03

0,1668010810.5408094,+1.12883500E-03

0,1668010811.0598092,+1.12860600E-03

0,1668010811.5898094,+1.12864700E-03

0,1668010812.1098094,+1.12863700E-03

0,1668010812.6398094,+1.12854300E-03

0,1668010813.1598094,+1.12832500E-03

0,1668010813.6898093,+1.12836600E-03

0,1668010814.2098093,+1.12823100E-03

0,1668010814.7398093,+1.12828300E-03

0,1668010815.2598093,+1.12821000E-03

0,1668010815.7898095,+1.12800200E-03

0,1668010816.3098094,+1.12802300E-03

0,1668010816.8398092,+1.12816800E-03

0,1668010817.3598094,+1.12809600E-03

0,1668010817.8898094,+1.12772100E-03

0,1668010818.4098094,+1.12778300E-03

0,1668010818.9398093,+1.12780400E-03

0,1668010819.4598093,+1.12760600E-03

0,1668010819.9898095,+1.12771000E-03

0,1668010820.5198092,+1.12738800E-03

0,1668010821.0398092,+1.12745000E-03

0,1668010821.5698094,+1.12734600E-03

0,1668010822.0898094,+1.12718000E-03

0,1668010822.6198094,+1.12726300E-03

0,1668010823.1498094,+1.12709600E-03

0,1668010823.6698093,+1.12699200E-03

0,1668010824.1998093,+1.12693000E-03

0,1668010824.7198093,+1.12664900E-03

0,1668010825.2498095,+1.12715900E-03

0,1668010825.7698095,+1.12683600E-03

0,1668010826.2998092,+1.12711700E-03

0,1668010826.8298094,+1.12734600E-03

0,1668010827.3498094,+1.12701300E-03

0,1668010827.8808095,+1.12696100E-03

0,1668010828.4008095,+1.12691900E-03

0,1668010828.9308093,+1.12688800E-03

0,1668010829.4608095,+1.12699200E-03

0,1668010829.9808095,+1.12677400E-03

0,1668010830.5108094,+1.12685700E-03

0,1668010831.0308094,+1.12683600E-03

0,1668010831.5618093,+1.12677400E-03

0,1668010832.0818095,+1.12688800E-03

0,1668010832.6118093,+1.12696100E-03

0,1668010833.1418095,+1.12704400E-03

0,1668010833.6618094,+1.12676300E-03

0,1668010834.1938095,+1.12697100E-03

0,1668010834.7138095,+1.12696100E-03

0,1668010835.2458093,+1.12695100E-03

0,1668010835.7658093,+1.12716900E-03

0,1668010836.2958093,+1.12681500E-03

0,1668010836.8158092,+1.12671100E-03

0,1668010837.3458095,+1.12668000E-03

0,1668010837.8658094,+1.12681500E-03

