i,t_v,Resistencia(Ohms)
0,1669211498.9179688,+1.19683480E+02
0,1669211499.3574219,+1.19625010E+02
0,1669211499.791992,+1.19648520E+02
0,1669211500.2265625,+1.19681600E+02
0,1669211500.665039,+1.19669640E+02
0,1669211501.1015627,+1.19720300E+02
0,1669211501.5371091,+1.19626990E+02
0,1669211501.977539,+1.19562080E+02
0,1669211502.4179688,+1.19546890E+02
0,1669211502.8574219,+1.19385450E+02
0,1669211503.2958984,+1.19205380E+02
0,1669211503.7373047,+1.19354760E+02
0,1669211504.175781,+1.19569460E+02
0,1669211504.618164,+1.19613680E+02
0,1669211505.0576172,+1.19612530E+02
0,1669211505.4980466,+1.19005030E+02
0,1669211505.9355469,+1.19331250E+02
0,1669211506.3730469,+1.19223580E+02
0,1669211506.8115234,+1.19364330E+02
0,1669211507.2470703,+1.19764090E+02
0,1669211507.6826172,+1.19834520E+02
0,1669211508.120117,+1.19663810E+02
0,1669211508.5576172,+1.19480840E+02
0,1669211508.9921875,+1.19403030E+02
0,1669211509.4257812,+1.19442140E+02
0,1669211509.8603516,+1.19323030E+02
0,1669211510.296875,+1.19263940E+02
0,1669211510.7392578,+1.19314290E+02
0,1669211511.1767578,+1.19326050E+02
0,1669211511.6142578,+1.19310650E+02
0,1669211512.055664,+1.19287660E+02
0,1669211512.4970703,+1.19281730E+02
0,1669211512.9375,+1.19273830E+02
0,1669211513.3769531,+1.19260930E+02
0,1669211513.8164062,+1.19246680E+02
0,1669211514.256836,+1.19296500E+02
0,1669211514.6972656,+1.19398140E+02
0,1669211515.1376953,+1.19370050E+02
0,1669211515.5722654,+1.19350290E+02
0,1669211516.006836,+1.19617320E+02
0,1669211516.4453125,+1.19645820E+02
0,1669211516.878906,+1.19589330E+02
0,1669211517.3154297,+1.19643320E+02
0,1669211517.7529294,+1.18927430E+02
0,1669211518.1904297,+1.18714490E+02
0,1669211518.625,+1.18661120E+02
0,1669211519.0585938,+1.18866990E+02
0,1669211519.4941406,+1.19022820E+02
0,1669211519.9335935,+1.19064010E+02
0,1669211520.3730469,+1.19009920E+02
0,1669211520.8125,+1.19158460E+02
0,1669211521.2509766,+1.18815810E+02
0,1669211521.6884763,+1.18876560E+02
0,1669211522.125,+1.18766190E+02
0,1669211522.5664062,+1.18750060E+02
0,1669211523.0048826,+1.19033110E+02
0,1669211523.444336,+1.19132980E+02
0,1669211523.8876953,+1.19202050E+02
0,1669211524.3251953,+1.19018240E+02
0,1669211524.7636719,+1.19170640E+02
0,1669211525.2050781,+1.19200180E+02
0,1669211525.6435544,+1.19220770E+02
0,1669211526.0839844,+1.19234400E+02
0,1669211526.5234375,+1.19116230E+02
0,1669211526.9658203,+1.19000760E+02
0,1669211527.4042966,+1.19156590E+02
0,1669211527.84375,+1.19207460E+02
0,1669211528.2832031,+1.19203710E+02
0,1669211528.7216797,+1.19286310E+02
0,1669211529.1611328,+1.19336760E+02
0,1669211529.600586,+1.19301500E+02
0,1669211530.0390625,+1.19287350E+02
0,1669211530.4814453,+1.19258020E+02
0,1669211530.921875,+1.19122470E+02
0,1669211531.3652341,+1.19113420E+02
0,1669211531.805664,+1.19156800E+02
0,1669211532.2470703,+1.19255620E+02
0,1669211532.6855466,+1.19088870E+02
0,1669211533.1269531,+1.19277050E+02
0,1669211533.5673828,+1.19368390E+02
0,1669211534.0048826,+1.19412080E+02
0,1669211534.4462888,+1.19372550E+02
0,1669211534.8847656,+1.19149930E+02
0,1669211535.321289,+1.19149100E+02
0,1669211535.7636719,+1.19164080E+02
0,1669211536.2041013,+1.19166060E+02
0,1669211536.6513672,+1.19194460E+02
0,1669211537.0917966,+1.19234090E+02
0,1669211537.5292969,+1.19205590E+02
0,1669211537.9667969,+1.19102920E+02
0,1669211538.40625,+1.19167830E+02
0,1669211538.8457031,+1.19209330E+02
0,1669211539.2871094,+1.19222960E+02
0,1669211539.7226562,+1.19191340E+02
0,1669211540.1611328,+1.19161900E+02
0,1669211540.602539,+1.19168030E+02
0,1669211541.0419922,+1.19180000E+02
0,1669211541.477539,+1.19165330E+02
0,1669211541.9140625,+1.19153050E+02
0,1669211542.350586,+1.19140880E+02
0,1669211542.7861328,+1.19133600E+02
0,1669211543.2226562,+1.19130070E+02
0,1669211543.6601562,+1.19135680E+02
0,1669211544.0957031,+1.19127360E+02
0,1669211544.5332031,+1.19128820E+02
0,1669211544.9707031,+1.19138490E+02
0,1669211545.40625,+1.19142240E+02
0,1669211545.8447266,+1.19159190E+02
0,1669211546.28125,+1.19196120E+02
0,1669211546.7216797,+1.19210060E+02
0,1669211547.163086,+1.19218690E+02
0,1669211547.604492,+1.19218800E+02
0,1669211548.0429685,+1.19214010E+02
0,1669211548.4824219,+1.19209640E+02
0,1669211548.9248047,+1.19205800E+02
0,1669211549.3642578,+1.19220360E+02
0,1669211549.8066406,+1.19235130E+02
0,1669211550.2441406,+1.19242310E+02
0,1669211550.6835938,+1.19241890E+02
0,1669211551.1220703,+1.19223480E+02
0,1669211551.5625,+1.19209750E+02
0,1669211552.0019531,+1.19222650E+02
0,1669211552.4375,+1.19236480E+02
0,1669211552.8818357,+1.19253230E+02
0,1669211553.3203125,+1.19268730E+02
0,1669211553.7597654,+1.19277570E+02
0,1669211554.2011716,+1.19255410E+02
0,1669211554.640625,+1.19224310E+02
0,1669211555.0791013,+1.19224420E+02
0,1669211555.5166016,+1.19227640E+02
0,1669211555.959961,+1.19238770E+02
0,1669211556.3984373,+1.19185410E+02
0,1669211556.8369138,+1.19141610E+02
0,1669211557.2763672,+1.19141820E+02
0,1669211557.7177732,+1.19159610E+02
0,1669211558.1582031,+1.19179370E+02
0,1669211558.5986328,+1.19196950E+02
0,1669211559.0361328,+1.19191540E+02
0,1669211559.4736328,+1.19415090E+02
0,1669211559.9082031,+1.19404270E+02
0,1669211560.3486328,+1.19388880E+02
0,1669211560.788086,+1.19380760E+02
0,1669211561.2373047,+1.19361730E+02
0,1669211561.6767578,+1.19353820E+02
0,1669211562.118164,+1.19329580E+02
0,1669211562.5585938,+1.19312320E+02
0,1669211562.9980466,+1.19297960E+02
0,1669211563.4365234,+1.19287040E+02
0,1669211563.878906,+1.19305450E+02
0,1669211564.319336,+1.19321260E+02
0,1669211564.7597654,+1.19300560E+02
0,1669211565.2011716,+1.19278720E+02
0,1669211565.6396484,+1.19246360E+02
0,1669211566.0791013,+1.19233050E+02
0,1669211566.5166016,+1.19230140E+02
0,1669211566.9560544,+1.19235340E+02
0,1669211567.3964844,+1.19290160E+02
0,1669211567.8378906,+1.19276220E+02
0,1669211568.2792969,+1.19254270E+02
0,1669211568.7177732,+1.19258330E+02
0,1669211569.1552734,+1.19264780E+02
0,1669211569.5957031,+1.19268110E+02
0,1669211570.0361328,+1.19267900E+02
0,1669211570.477539,+1.19266130E+02
0,1669211570.9121094,+1.19262900E+02
0,1669211571.3476562,+1.19261030E+02
0,1669211571.785156,+1.19254270E+02
0,1669211572.2246094,+1.19249490E+02
0,1669211572.6591794,+1.19250110E+02
0,1669211573.0976562,+1.19251460E+02
