i,t_v,Resistencia(Ohms)
0,1669219251.1992188,+1.26245980E+02
0,1669219251.6396484,+1.26246290E+02
0,1669219252.0800781,+1.26244010E+02
0,1669219252.5195312,+1.26243900E+02
0,1669219252.9560544,+1.26242450E+02
0,1669219253.3935547,+1.26241090E+02
0,1669219253.8330078,+1.26240990E+02
0,1669219254.2724607,+1.26239640E+02
0,1669219254.7089844,+1.26239740E+02
0,1669219255.1455078,+1.26238280E+02
0,1669219255.586914,+1.26237760E+02
0,1669219256.0302732,+1.26236720E+02
0,1669219256.46875,+1.26236100E+02
0,1669219256.9072266,+1.26235060E+02
0,1669219257.3476562,+1.26234850E+02
0,1669219257.788086,+1.26232670E+02
0,1669219258.2285156,+1.26233080E+02
0,1669219258.6669922,+1.26231830E+02
0,1669219259.1035156,+1.26230900E+02
0,1669219259.5439453,+1.26230270E+02
0,1669219259.9833984,+1.26229030E+02
0,1669219260.421875,+1.26227880E+02
0,1669219260.859375,+1.26225700E+02
0,1669219261.3007812,+1.26224140E+02
0,1669219261.741211,+1.26223510E+02
0,1669219262.1787107,+1.26236310E+02
0,1669219262.6191406,+1.26233290E+02
0,1669219263.05957,+1.26231940E+02
0,1669219263.4990234,+1.26228710E+02
0,1669219263.9433591,+1.26226220E+02
0,1669219264.3828125,+1.26222680E+02
0,1669219264.8261719,+1.26220180E+02
0,1669219265.2636719,+1.26217790E+02
0,1669219265.7050781,+1.26216750E+02
0,1669219266.1435544,+1.26213840E+02
0,1669219266.5830078,+1.26213420E+02
0,1669219267.0205078,+1.26212070E+02
0,1669219267.4589841,+1.26205410E+02
0,1669219267.899414,+1.26200520E+02
0,1669219268.3339844,+1.26194180E+02
0,1669219268.7724607,+1.26187310E+02
0,1669219269.209961,+1.26183050E+02
0,1669219269.6503906,+1.26176490E+02
0,1669219270.0917966,+1.26144140E+02
0,1669219270.53125,+1.26115330E+02
0,1669219270.96875,+1.26101280E+02
0,1669219271.4072266,+1.26094730E+02
