i,t_v,Resistencia(Ohms)
0,1669214844.7724607,+1.26344490E+02
0,1669214845.2148438,+1.26342720E+02
0,1669214845.6552734,+1.26341270E+02
0,1669214846.09375,+1.26342830E+02
0,1669214846.5361328,+1.26347300E+02
0,1669214846.972656,+1.26353130E+02
0,1669214847.4140625,+1.26355830E+02
0,1669214847.8525388,+1.26356980E+02
0,1669214848.7285156,+1.26240260E+02
0,1669214849.1679688,+1.26175450E+02
0,1669214849.6074216,+1.26165780E+02
0,1669214850.0468748,+1.26163700E+02
0,1669214850.4873047,+1.26163070E+02
0,1669214850.9228516,+1.26163070E+02
0,1669214851.3623044,+1.26160270E+02
0,1669214851.7978513,+1.26159330E+02
0,1669214852.2402341,+1.26156310E+02
0,1669214852.6767578,+1.26154130E+02
0,1669214853.1152344,+1.26151740E+02
0,1669214853.5517578,+1.26148410E+02
0,1669214853.9892578,+1.26144140E+02
0,1669214854.4296875,+1.26142170E+02
0,1669214854.8632812,+1.26145490E+02
0,1669214855.307617,+1.26158810E+02
0,1669214855.7451172,+1.26163180E+02
0,1669214856.1855466,+1.26163390E+02
0,1669214856.6220703,+1.26165260E+02
0,1669214857.05957,+1.26151940E+02
0,1669214857.5009763,+1.26146120E+02
0,1669214857.9384766,+1.26147050E+02
0,1669214858.378906,+1.26147570E+02
0,1669214858.8173828,+1.26152670E+02
0,1669214859.2558591,+1.26148410E+02
0,1669214859.696289,+1.26136030E+02
0,1669214860.1386719,+1.26103160E+02
0,1669214860.578125,+1.26084850E+02
0,1669214861.015625,+1.26085990E+02
0,1669214861.4570312,+1.26090260E+02
0,1669214861.8964844,+1.26114910E+02
0,1669214862.3378906,+1.26128850E+02
0,1669214862.7773438,+1.26137280E+02
0,1669214863.2177732,+1.26140190E+02
0,1669214863.6582031,+1.26146220E+02
0,1669214864.0976562,+1.26146850E+02
0,1669214864.5390625,+1.26145080E+02
0,1669214864.977539,+1.26139670E+02
0,1669214865.416992,+1.26120220E+02
0,1669214865.8544922,+1.26138000E+02
0,1669214866.2929688,+1.26142370E+02
0,1669214866.7324219,+1.26147570E+02
0,1669214867.1708984,+1.26152980E+02
0,1669214867.6142578,+1.26153710E+02
0,1669214868.0527341,+1.26155270E+02
0,1669214868.4941406,+1.26151530E+02
0,1669214868.9326172,+1.26141540E+02
0,1669214869.3720703,+1.26140710E+02
0,1669214869.8115234,+1.26146220E+02
0,1669214870.2539062,+1.26150590E+02
0,1669214870.6923828,+1.26145290E+02
0,1669214871.1308594,+1.26146330E+02
0,1669214871.5722654,+1.26147680E+02
0,1669214872.0117188,+1.26148930E+02
0,1669214872.4511719,+1.26148720E+02
0,1669214872.894531,+1.26151110E+02
0,1669214873.3320312,+1.26152670E+02
0,1669214873.774414,+1.26150180E+02
0,1669214874.213867,+1.26149550E+02
0,1669214874.6523438,+1.26146220E+02
0,1669214875.0927734,+1.26142580E+02
0,1669214875.53125,+1.26142480E+02
0,1669214875.972656,+1.26140400E+02
0,1669214876.4140625,+1.26138210E+02
0,1669214876.8544922,+1.26133320E+02
0,1669214877.2910156,+1.26130200E+02
0,1669214877.7314453,+1.26134570E+02
0,1669214878.1699219,+1.26140290E+02
0,1669214878.6103516,+1.26140610E+02
0,1669214879.0498044,+1.26139980E+02
0,1669214879.4941406,+1.26137070E+02
0,1669214879.9335935,+1.26137380E+02
0,1669214880.3710938,+1.26138940E+02
0,1669214880.8105466,+1.26140400E+02
0,1669214881.2490234,+1.26139880E+02
0,1669214881.6884763,+1.26138110E+02
0,1669214882.1289062,+1.26137800E+02
0,1669214882.571289,+1.26136440E+02
0,1669214883.010742,+1.26133950E+02
0,1669214883.4492188,+1.26134680E+02
0,1669214883.8867188,+1.26135510E+02
0,1669214884.328125,+1.26132910E+02
0,1669214884.765625,+1.26133430E+02
0,1669214885.2050781,+1.26130830E+02
0,1669214885.647461,+1.26130100E+02
0,1669214886.0878906,+1.26126460E+02
0,1669214886.5253906,+1.26129580E+02
0,1669214886.96875,+1.26128750E+02
0,1669214887.4091797,+1.26128430E+02
0,1669214887.850586,+1.26128750E+02
0,1669214888.291992,+1.26131240E+02
0,1669214888.734375,+1.26132180E+02
0,1669214889.1767578,+1.26131040E+02
0,1669214889.6171875,+1.26131450E+02
0,1669214890.05957,+1.26129790E+02
0,1669214890.4970703,+1.26129370E+02
0,1669214890.9365234,+1.26124480E+02
0,1669214891.3759766,+1.26125310E+02
0,1669214891.8173828,+1.26125110E+02
0,1669214892.2548828,+1.26122920E+02
0,1669214892.6923828,+1.26123860E+02
0,1669214893.1298828,+1.26124480E+02
0,1669214893.5683594,+1.26127290E+02
0,1669214894.0058594,+1.26128640E+02
0,1669214894.4482422,+1.26127600E+02
0,1669214894.8886716,+1.26126560E+02
0,1669214895.3271482,+1.26125630E+02
0,1669214895.7646484,+1.26124900E+02
0,1669214896.203125,+1.26124070E+02
0,1669214896.6425781,+1.26124270E+02
0,1669214897.082031,+1.26123550E+02
0,1669214897.522461,+1.26119800E+02
0,1669214897.9648438,+1.26116680E+02
0,1669214898.4072266,+1.26119800E+02
0,1669214898.8417969,+1.26121980E+02
0,1669214899.2841797,+1.26118760E+02
0,1669214899.725586,+1.26116890E+02
0,1669214900.1660154,+1.26119380E+02
0,1669214900.6064453,+1.26118760E+02
0,1669214901.0488281,+1.26118340E+02
0,1669214901.4902344,+1.26119180E+02
0,1669214901.9267578,+1.26120320E+02
0,1669214902.3701172,+1.26118140E+02
0,1669214902.8115234,+1.26118030E+02
0,1669214903.2529294,+1.26116890E+02
0,1669214903.6933594,+1.26118450E+02
0,1669214904.1347656,+1.26117820E+02
0,1669214904.5761719,+1.26112310E+02
0,1669214905.010742,+1.26110130E+02
0,1669214905.4511719,+1.26110230E+02
0,1669214905.890625,+1.26108670E+02
0,1669214906.328125,+1.26109710E+02
0,1669214906.7666016,+1.26108460E+02
0,1669214907.2089844,+1.26108880E+02
0,1669214907.6494138,+1.26108570E+02
0,1669214908.0888672,+1.26109400E+02
0,1669214908.5292969,+1.26111480E+02
0,1669214908.9658203,+1.26111580E+02
0,1669214909.4042966,+1.26113660E+02
0,1669214909.84375,+1.26114810E+02
