i,t_v,tensión(V)
0,1668002424.2673917,-1.42680000E-04

0,1668002424.797392,-1.43263000E-04

0,1668002425.3193917,-1.42805000E-04

0,1668002425.830392,-1.43637000E-04

0,1668002426.3713918,-1.43419000E-04

0,1668002426.8933918,-1.39880000E-04

0,1668002427.4203918,-1.37507000E-04

0,1668002427.9423919,-1.38402000E-04

0,1668002428.4723916,-1.36966000E-04

0,1668002428.9953918,-1.35706000E-04

0,1668002429.5153918,-1.34478000E-04

0,1668002430.0473917,-1.32365000E-04

0,1668002430.5673916,-1.31002000E-04

0,1668002431.0993917,-1.32042000E-04

0,1668002431.6193917,-1.30190000E-04

0,1668002432.149392,-1.29825000E-04

0,1668002432.6693919,-1.28316000E-04

0,1668002433.1893919,-1.29076000E-04

0,1668002433.7193918,-1.28628000E-04

0,1668002434.2393918,-1.29190000E-04

0,1668002434.7693918,-1.27858000E-04

0,1668002435.2893918,-1.26880000E-04

0,1668002435.8193917,-1.26474000E-04

0,1668002436.3413918,-1.23268000E-04

0,1668002436.8623917,-1.23986000E-04

0,1668002437.3933918,-1.25829000E-04

0,1668002437.9153917,-1.25683000E-04

0,1668002438.445392,-1.25142000E-04

0,1668002438.9673917,-1.25225000E-04

0,1668002439.4953918,-1.24580000E-04

0,1668002440.017392,-1.21603000E-04

0,1668002440.537392,-1.20177000E-04

0,1668002441.069392,-1.20937000E-04

0,1668002441.589392,-1.21551000E-04

0,1668002442.1113918,-1.18928000E-04

0,1668002442.6413918,-1.14546000E-04

0,1668002443.1633918,-1.15805000E-04

0,1668002443.6933918,-1.16086000E-04

0,1668002444.2153916,-1.17231000E-04

0,1668002444.7353919,-1.15826000E-04

0,1668002445.2683916,-1.16638000E-04

0,1668002445.7883916,-1.16138000E-04

0,1668002446.310392,-1.15795000E-04

0,1668002446.8403916,-1.14629000E-04

0,1668002447.3623917,-1.14681000E-04

0,1668002447.8833919,-1.13692000E-04

0,1668002448.4143918,-1.11777000E-04

0,1668002448.9373918,-1.13588000E-04

0,1668002449.461392,-1.13651000E-04

0,1668002449.993392,-1.09539000E-04

0,1668002450.513392,-1.09498000E-04

0,1668002451.0453918,-1.10518000E-04

0,1668002451.5653918,-1.09633000E-04

0,1668002452.0873919,-1.09446000E-04

0,1668002452.6173918,-1.08998000E-04

0,1668002453.1393917,-1.07260000E-04

0,1668002453.6693919,-1.06344000E-04

0,1668002454.1913917,-1.05532000E-04

0,1668002454.721392,-1.02316000E-04

0,1668002455.2433918,-1.02513000E-04

0,1668002455.7713916,-1.01931000E-04

0,1668002456.293392,-1.03138000E-04

0,1668002456.8233917,-1.00359000E-04

0,1668002457.3443916,-1.00265000E-04

0,1668002457.8743918,-9.82360000E-05

0,1668002458.3953917,-9.92140000E-05

0,1668002458.9163916,-1.00047000E-04

0,1668002459.4463918,-1.00453000E-04

0,1668002459.977392,-9.83500000E-05

0,1668002460.497392,-9.68300000E-05

0,1668002461.0283916,-9.93800000E-05

0,1668002461.5483916,-9.85480000E-05

0,1668002462.0793917,-9.63100000E-05

0,1668002462.5993917,-9.56440000E-05

0,1668002463.1303918,-9.82360000E-05

0,1668002463.6473918,-9.70800000E-05

0,1668002464.1793919,-9.60290000E-05

0,1668002464.6993918,-9.64870000E-05

0,1668002465.2293918,-9.66010000E-05

0,1668002465.7493918,-9.46550000E-05

0,1668002466.2793918,-9.10950000E-05

0,1668002466.809392,-9.25530000E-05

0,1668002467.329392,-8.80460000E-05

0,1668002467.8593917,-8.26120000E-05

0,1668002468.3793917,-8.37470000E-05

0,1668002468.9093919,-8.58700000E-05

0,1668002469.4303918,-8.46210000E-05

0,1668002469.9603918,-8.46420000E-05

0,1668002470.4803917,-7.96250000E-05

0,1668002471.0103917,-7.67940000E-05

0,1668002471.5303917,-7.72520000E-05

0,1668002472.0603917,-8.08120000E-05

0,1668002472.5803916,-8.14570000E-05

0,1668002473.1103919,-8.12800000E-05

0,1668002473.6303918,-8.28730000E-05

0,1668002474.1603916,-8.15610000E-05

0,1668002474.6803918,-8.04160000E-05

0,1668002475.2103918,-7.92300000E-05

0,1668002475.7303917,-7.94690000E-05

