i,t_v,Resistencia(Ohms)
0,1669208363.495117,+1.22339740E+02
0,1669208363.9365234,+1.22257560E+02
0,1669208364.375,+1.22249650E+02
0,1669208364.8125,+1.22237590E+02
0,1669208365.2509766,+1.22181520E+02
0,1669208365.6884763,+1.22147810E+02
0,1669208366.1289062,+1.22192650E+02
0,1669208366.5722654,+1.22400910E+02
0,1669208367.0117188,+1.22481010E+02
0,1669208367.4521484,+1.22532080E+02
0,1669208367.894531,+1.22412970E+02
0,1669208368.3330078,+1.22474450E+02
0,1669208368.7714844,+1.22299690E+02
0,1669208369.2080076,+1.22348060E+02
0,1669208369.6435544,+1.22454790E+02
0,1669208370.0791013,+1.22474140E+02
0,1669208370.517578,+1.22477050E+02
0,1669208370.961914,+1.22502640E+02
0,1669208371.4003906,+1.22518350E+02
0,1669208371.8369138,+1.22465920E+02
0,1669208372.2734375,+1.22388110E+02
0,1669208372.7128906,+1.22354510E+02
0,1669208373.1494138,+1.22356800E+02
0,1669208373.5898438,+1.22372510E+02
0,1669208374.0302732,+1.22410060E+02
0,1669208374.4716794,+1.22450320E+02
0,1669208374.9091797,+1.22454790E+02
0,1669208375.3515625,+1.22468310E+02
0,1669208375.791992,+1.22465820E+02
0,1669208376.234375,+1.22469560E+02
0,1669208376.6708984,+1.22467790E+02
0,1669208377.1142578,+1.22482250E+02
0,1669208377.5507812,+1.22488810E+02
0,1669208377.9902344,+1.22495150E+02
0,1669208378.4316406,+1.22496710E+02
0,1669208378.8710938,+1.22498790E+02
0,1669208379.3095703,+1.22500040E+02
0,1669208379.7500002,+1.22501910E+02
0,1669208380.1953125,+1.22506080E+02
0,1669208380.6337888,+1.22509090E+02
0,1669208381.0722656,+1.22512320E+02
0,1669208381.5126953,+1.22516580E+02
0,1669208381.9521484,+1.22525110E+02
0,1669208382.3925781,+1.22531870E+02
0,1669208382.8339844,+1.22535100E+02
0,1669208383.2773438,+1.22538010E+02
0,1669208383.7148438,+1.22536870E+02
0,1669208384.1523438,+1.22538950E+02
0,1669208384.5947263,+1.22537390E+02
0,1669208385.0322266,+1.22537070E+02
0,1669208385.4746094,+1.22536140E+02
0,1669208385.915039,+1.22535720E+02
0,1669208386.3486328,+1.22533950E+02
0,1669208386.790039,+1.22532810E+02
0,1669208387.2314453,+1.22530730E+02
0,1669208387.6689453,+1.22529480E+02
0,1669208388.1064453,+1.22528020E+02
0,1669208388.5449219,+1.22526360E+02
0,1669208388.984375,+1.22525320E+02
0,1669208389.4199219,+1.22526150E+02
0,1669208389.8623044,+1.22526050E+02
0,1669208390.3007812,+1.22527710E+02
0,1669208390.7402341,+1.22530940E+02
0,1669208391.175781,+1.22532390E+02
0,1669208391.616211,+1.22531350E+02
0,1669208392.055664,+1.22530940E+02
0,1669208392.5,+1.22530100E+02
0,1669208392.9375,+1.22530520E+02
0,1669208393.3759766,+1.22530520E+02
0,1669208393.8183594,+1.22529170E+02
0,1669208394.2548828,+1.22527820E+02
0,1669208394.6933594,+1.22526150E+02
0,1669208395.1337888,+1.22525010E+02
0,1669208395.5751953,+1.22524280E+02
0,1669208396.015625,+1.22524590E+02
0,1669208396.4550781,+1.22526050E+02
0,1669208396.8964844,+1.22525110E+02
0,1669208397.3388672,+1.22526980E+02
0,1669208397.7783203,+1.22524070E+02
0,1669208398.2197266,+1.22521160E+02
0,1669208398.6611328,+1.22518140E+02
0,1669208399.100586,+1.22515230E+02
0,1669208399.5361328,+1.22514710E+02
0,1669208399.977539,+1.22509720E+02
0,1669208400.413086,+1.22497960E+02
0,1669208400.8544922,+1.22480380E+02
0,1669208401.290039,+1.22475080E+02
0,1669208401.7246094,+1.22470910E+02
0,1669208402.1611328,+1.22470710E+02
0,1669208402.5957031,+1.22469150E+02
0,1669208403.0371091,+1.22470810E+02
0,1669208403.477539,+1.22472060E+02
0,1669208403.9140625,+1.22468830E+02
0,1669208404.3535156,+1.22466440E+02
0,1669208404.7939453,+1.22467480E+02
0,1669208405.2333982,+1.22466650E+02
0,1669208405.671875,+1.22463530E+02
0,1669208406.1103516,+1.22459680E+02
0,1669208406.5488281,+1.22458950E+02
0,1669208406.9892578,+1.22459680E+02
0,1669208407.4277344,+1.22460410E+02
0,1669208407.8652341,+1.22459060E+02
0,1669208408.307617,+1.22456350E+02
0,1669208408.7441406,+1.22454060E+02
0,1669208409.1835938,+1.22451770E+02
0,1669208409.6240232,+1.22448760E+02
0,1669208410.0615234,+1.22447300E+02
0,1669208410.5,+1.22446680E+02
0,1669208410.9414062,+1.22445120E+02
0,1669208411.3808594,+1.22445950E+02
0,1669208411.8183594,+1.22453020E+02
0,1669208412.2607422,+1.22478300E+02
0,1669208412.7001953,+1.22493280E+02
0,1669208413.140625,+1.22484540E+02
0,1669208413.5800781,+1.22480280E+02
0,1669208414.022461,+1.22482570E+02
0,1669208414.461914,+1.22476010E+02
0,1669208414.9052734,+1.22466750E+02
0,1669208415.3447266,+1.22463110E+02
0,1669208415.7822263,+1.22461550E+02
0,1669208416.2246094,+1.22454790E+02
0,1669208416.665039,+1.22470500E+02
0,1669208417.104492,+1.22475390E+02
