i,t_v,tensión(V)
0,1668012705.4370492,+9.87331000E-04

0,1668012705.9620492,+9.87487000E-04

0,1668012706.501049,+9.87810000E-04

0,1668012707.0140493,+9.87935000E-04

0,1668012707.540049,+9.88226000E-04

0,1668012708.0740492,+9.88497000E-04

0,1668012708.5910492,+9.88830000E-04

0,1668012709.117049,+9.88986000E-04

0,1668012709.6560493,+9.89069000E-04

0,1668012710.169049,+9.89329000E-04

0,1668012710.6950493,+9.89496000E-04

0,1668012711.237049,+9.89496000E-04

0,1668012711.7460492,+9.89371000E-04

0,1668012712.2720492,+9.90089000E-04

0,1668012712.8120492,+9.90089000E-04

0,1668012713.3230493,+9.90110000E-04

0,1668012713.8480492,+9.90245000E-04

0,1668012714.3790493,+9.90349000E-04

0,1668012714.9200492,+9.90308000E-04

0,1668012715.441049,+9.90287000E-04

0,1668012715.9720492,+9.90328000E-04

0,1668012716.4790492,+9.90360000E-04

0,1668012717.004049,+9.90297000E-04

0,1668012717.5290492,+9.90068000E-04

0,1668012718.0550492,+9.89891000E-04

0,1668012718.593049,+9.89777000E-04

0,1668012719.1190493,+9.89537000E-04

0,1668012719.648049,+9.89631000E-04

0,1668012720.168049,+9.89256000E-04

0,1668012720.6990492,+9.88996000E-04

0,1668012721.225049,+9.88975000E-04

0,1668012721.745049,+9.88538000E-04

0,1668012722.2750492,+9.88257000E-04

0,1668012722.797049,+9.87987000E-04

0,1668012723.317049,+9.88039000E-04

0,1668012723.8470492,+9.87529000E-04

0,1668012724.373049,+9.87237000E-04

0,1668012724.893049,+9.86904000E-04

0,1668012725.4230492,+9.86779000E-04

0,1668012725.9430492,+9.86571000E-04

0,1668012726.4730492,+9.86488000E-04

0,1668012727.0030491,+9.86488000E-04

0,1668012727.5220492,+9.86196000E-04

0,1668012728.0520492,+9.86123000E-04

0,1668012728.5720491,+9.85967000E-04

0,1668012729.1020494,+9.85717000E-04

0,1668012729.6220493,+9.85770000E-04

0,1668012730.152049,+9.85801000E-04

0,1668012730.672049,+9.85624000E-04

0,1668012731.2020493,+9.85332000E-04

