i,t_v,tensión(V)
0,1668614435.9267578,+1.21362010E+02
0,1668614436.3662107,+1.21373560E+02
0,1668614436.8046875,+1.21392290E+02
0,1668614437.2470703,+1.21410590E+02
0,1668614437.6875,+1.21430150E+02
0,1668614438.1298828,+1.21444820E+02
0,1668614438.5644531,+1.21457400E+02
0,1668614439.0058594,+1.21466250E+02
0,1668614439.444336,+1.21474780E+02
0,1668614439.8857422,+1.21479560E+02
0,1668614440.3242185,+1.21484450E+02
0,1668614440.765625,+1.21489030E+02
0,1668614441.203125,+1.21493810E+02
0,1668614441.6425781,+1.21499530E+02
0,1668614442.082031,+1.21503380E+02
0,1668614442.522461,+1.21505460E+02
0,1668614442.9580078,+1.21506400E+02
0,1668614443.3945312,+1.21508690E+02
0,1668614443.8359375,+1.21510980E+02
0,1668614444.2763672,+1.21512540E+02
0,1668614444.7148438,+1.21513680E+02
0,1668614445.15332,+1.21514200E+02
0,1668614445.5917966,+1.21515550E+02
0,1668614446.03125,+1.21514830E+02
0,1668614446.4697266,+1.21510870E+02
0,1668614446.9121094,+1.21505670E+02
0,1668614447.3515625,+1.21497040E+02
0,1668614447.7871094,+1.21488510E+02
0,1668614448.2304685,+1.21479250E+02
0,1668614448.6708984,+1.21470510E+02
0,1668614449.111328,+1.21459900E+02
0,1668614449.5527341,+1.21451890E+02
0,1668614449.9941406,+1.21443570E+02
0,1668614450.4355469,+1.21435350E+02
0,1668614450.875,+1.21428380E+02
0,1668614451.314453,+1.21421620E+02
0,1668614451.7539062,+1.21416000E+02
0,1668614452.1972656,+1.21408830E+02
0,1668614452.6347656,+1.21401650E+02
0,1668614453.0751953,+1.21392290E+02
0,1668614453.5126953,+1.21382190E+02
0,1668614453.9501953,+1.21371580E+02
0,1668614454.390625,+1.21361390E+02
0,1668614454.828125,+1.21351510E+02
0,1668614455.2666016,+1.21342770E+02
0,1668614455.7041013,+1.21334240E+02
0,1668614456.140625,+1.21328410E+02
0,1668614456.5800781,+1.21323320E+02
0,1668614457.0185547,+1.21320200E+02
0,1668614457.4589841,+1.21317390E+02
0,1668614457.8964844,+1.21315720E+02
0,1668614458.3378906,+1.21313120E+02
0,1668614458.7753906,+1.21312190E+02
0,1668614459.2167966,+1.21310110E+02
0,1668614459.6552734,+1.21307710E+02
0,1668614460.09375,+1.21302510E+02
0,1668614460.5361328,+1.21294710E+02
0,1668614460.9746094,+1.21285240E+02
0,1668614461.415039,+1.21274630E+02
0,1668614461.850586,+1.21263710E+02
0,1668614462.2910156,+1.21252680E+02
0,1668614462.7304685,+1.21242280E+02
0,1668614463.1689453,+1.21233750E+02
0,1668614463.6064453,+1.21223560E+02
0,1668614464.0468748,+1.21216800E+02
0,1668614464.4873047,+1.21208790E+02
0,1668614464.9316406,+1.21202750E+02
0,1668614465.3720703,+1.21195780E+02
0,1668614465.8154297,+1.21190060E+02
0,1668614466.2519531,+1.21186000E+02
0,1668614466.6933594,+1.21182050E+02
0,1668614467.131836,+1.21176230E+02
0,1668614467.571289,+1.21174670E+02
0,1668614468.0117188,+1.21169670E+02
0,1668614468.4492188,+1.21167180E+02
0,1668614468.8857422,+1.21162810E+02
0,1668614469.3261719,+1.21160730E+02
0,1668614469.7685544,+1.21158130E+02
0,1668614470.2089844,+1.21153450E+02
0,1668614470.6484375,+1.21150950E+02
0,1668614471.086914,+1.21148350E+02
0,1668614471.524414,+1.21146790E+02
0,1668614471.9667969,+1.21143040E+02
0,1668614472.4072266,+1.21140650E+02
0,1668614472.8457031,+1.21137110E+02
0,1668614473.288086,+1.21135140E+02
0,1668614473.727539,+1.21132330E+02
0,1668614474.1660154,+1.21128790E+02
0,1668614474.6064453,+1.21123800E+02
0,1668614475.0468748,+1.21119950E+02
0,1668614475.4873047,+1.21116410E+02
0,1668614475.9296875,+1.21111110E+02
0,1668614476.368164,+1.21107470E+02
0,1668614476.807617,+1.21103310E+02
0,1668614477.2480469,+1.21099460E+02
0,1668614477.6904297,+1.21096860E+02
0,1668614478.1279297,+1.21092900E+02
0,1668614478.5625,+1.21089160E+02
0,1668614479.0078125,+1.21085620E+02
0,1668614479.4472656,+1.21081980E+02
0,1668614479.8896484,+1.21077400E+02
0,1668614480.328125,+1.21074070E+02
0,1668614480.7666016,+1.21069910E+02
0,1668614481.2080076,+1.21065650E+02
0,1668614481.6503906,+1.21062220E+02
0,1668614482.0917966,+1.21058260E+02
0,1668614482.5273435,+1.21054930E+02
0,1668614482.9716794,+1.21051290E+02
0,1668614483.4101562,+1.21047760E+02
0,1668614483.8496091,+1.21044950E+02
0,1668614484.2871094,+1.21041310E+02
0,1668614484.7265625,+1.21038500E+02
0,1668614485.1679688,+1.21036310E+02
